LibraryName	DBS-ID	RS	OCLCRegistry	OCLC	LibraryID
Abbethek					198857
Affinger Bücherstüberl	BA148	97710112112			209023
Akkon Hochschule für Humanwissenschaften Bibliothek					211182
Albertinen Krankenhaus. Krankenhausbibliothek	GM559	20000000000			203403
Albertus-Magnus-Bücherei	NM404	95620000000			209492
Alexianer Krankenhaus. Patientenbibliothek	SG854	51140000000			205276
Alfred Wegener Institute Library					193670
Alten- und Pflegeheim Orsoy, Bücherei	RO474	51700032032			205218
Altenheim Friedrichsburg Bibliothek	NT480	55150000000			205316
Altenpflegeheim St.-Agatha-Domizil. Bücherei	PS274	55540020020			205449
Amt für Weiterbildung und Kultur Berlin-Lichtenberg, Anton-Saefkow-Bibliothek	MB063	110000000000			203019
Amtsbibliothek Peitz	WH887	120715107304			202559
Amtsbibliothek Ziesar	WH024	120695918696			203099
Amtsbücherei Amrum	LF117	10545488085			203558
Andreas-Bücherei	JP397	55540064064			205146
Andreas-Bücherstube	NS992	34590033033			205507
Anhaltische Landesbücherei Dessau	AF111	150010000000			202781
Anna-Ditzen-Bibliothek	WC671	120640336336			203137
Arbeiterwohlfahrt KV Nordsachsen e.V. Bibliothek	WN253	147300020020			202655
Arche Bücherei im Kurhaus	RA822	34570002002			203657
Archiv der Jugendkulturen e.V., Bibliothek und Archiv		110000000000			203031
Archiv für Heilpädagogik					199775
Archiv für Heilpädagogik					199776
Archiv, Lese- und Medienzentrum Oder-Spree	YY413	120670036036			203164
Asklepios Fachklinikum Brandenburg. Patientenbibliothek	YA971	120510000000			203094
Asklepios Paulinen-Klinik. Krankenhausbücherei	TJ947	64140000000			207099
Ausbildungszentrum Technik Landsysteme FIST	TA578	53340002002			205912
Austauschbücherei der Diöszese Augsburg	AU861	97610000000			208979
Austauschbücherei der Diözesanstelle Bamberg	SM038	94610000000			210033
Austauschbücherei der Diözesanstelle Passau	NF190	92620000000			209818
Austauschbücherei der Diözesanstelle Regensburg	NF104	93620000000			209734
Austauschbücherei der Diözese Eichstätt	EC850	91760123123			208848
Auwiesen-Schmökerstube Niedermittlau	PQ770	64350015015			206914
Bach Archive Research Library Leipzig					210785
Bachtalbücherei Bachhagel	LR538	97735714112			209412
Baden State Library					38734
Badische Landesbibliothek	AC031	82120000000			208097
Bard College Berlin Library					193080
Bartholomäus Krüger Bibliothek	WH383	120720002002			203161
Bavarian International School Library					63428
Bavarian State Library					61409
Bayerische Blindenhörbücherei e.V.	NZ118	91620000000			208489
Bayerische Staatsbibliothek  Landesfachstelle für das öffentliche Bibliothekswesen. Außenstelle Regensburg	XY080	93620000000			209741
Bayerische Staatsbibliothek. Landesfachstelle für das öffentliche Bibliothekswesen - Außenstelle Nürnberg	XY018	95640000000			209441
Bayerische Staatsbibliothek. Landesfachstelle für das öffentliche Bibliothekswesen - Außenstelle Würzburg	XY146	96630000000			210127
Bayerische Staatsbibliothek. Staatliche Landesfachstelle für das Öffentliche Bibliothekswesen München	XY419	91620000000			208493
Bayerische Staatsbibliothek. Staatliche Landesfachstelle für das Öffentliche Bibliothekswesen München	XY419	91620000000			208503
Begegnungsstätte, Gemeindebibliothek	YR010	160775001003			202600
Behörden und Spezialbibliothek					61419
Benedictus-Bücherei Rohr in Niederbayern	SA451	92730165165			209799
Benedictuskrankenhaus Tutzing	NM726	91880141141			208569
Bensdorfer Lesestube	EZ408	120695917028			203097
Beratungsstelle für Öffentliche Bibliotheken Südniedersachsen	XY420	32540021021			203910
Beratungsstelle für Öffentliche Bibliotheken Südniedersachsen	XY353	32540021021			203911
Beratungsstelle für Öffentliche Bibliotheken Weser-Ems	XY092	34520001001			203638
Berlin Cosmopolitan School, Bibliothek		110000000000			203015
Berliner Öffentliche Bibliotheken					61261
Bernkastel-Kues. Gemeindebibliothek	HH997	72315001008			206209
Berufsakademie Sachsen					61420
Bezirksregierung Detmold Dezernat 49.1.2	XY225	57660020020			204054
Bezirksregierung Düsseldorf Dez. 48.08 - Öffentliche Bibliotheken	XY365	59580004004			204765
Bezirksregierung Düsseldorf Dezernat 48.08 Öffentliche Bibliotheken	XY286	51110000000			204768
Bezirksregierung Köln. Dezernat 49.1.2	XY432	53150000000			205759
Bezirksregierung Münster. Dez. 48.08	XY043	55150000000			205309
Bezirkszentralbibliothek Friedrichshain-Kreuzberg	MB038	110000000000			203017
Bezirkszentralbibliothek Spandau	GD895	110000000000			203057
BIB - Bibliothek Information Begegnung im FoKuS Selm	GJ455	59780032032			206690
BIB, Bibliothek Information Begegnung, im FoKuS Selm	GJ455	59780032032			206693
Biblioteca Antonio Gamoneda del Instituto Cervantes de Fráncfort					64123
Biblioteca Augusto Roa Bastos del Instituto Cervantes de Múnich					64133
Biblioteca del Instituto Cervantes de Hamburgo					64124
Biblioteca Gerardo Diego del Instituto Cervantes de Bruselas					64109
Biblioteca Gonzalo Rojas del Instituto Cervantes de Bremen					64108
Biblioteca Mario Vargas Llosa del Instituto Cervantes de Berlín					64106
