?item	?itemLabel	?isil	?gndId	?dbsId
http://www.wikidata.org/entity/Q860527	University of North Texas	US-txdn	25950-0	
http://www.wikidata.org/entity/Q867885	Dänische Königliche Bibliothek	DK-810010	43027-4	
http://www.wikidata.org/entity/Q875031	Philologische Bibliothek der Freien Universität Berlin	DE-188-920	4874201-6	
http://www.wikidata.org/entity/Q877252	Krameramtsstuben	DE-MUS-165513	
http://www.wikidata.org/entity/Q877333	Dokumentationszentrum Reichsparteitagsgelände	DE-MUS-915115	16028390-5	
http://www.wikidata.org/entity/Q877567	Museum für Angewandte Kunst Köln	DE-MUS-078617	2100344-0	
http://www.wikidata.org/entity/Q881736	Burg Hornberg	DE-MUS-101811	4104598-1	
http://www.wikidata.org/entity/Q882780	Blaues Haus (Breisach)	DE-Brs1	
http://www.wikidata.org/entity/Q882811	Universum Bremen	DE-MUS-667410	
http://www.wikidata.org/entity/Q884264	Blindenmuseum	DE-MUS-925919	
http://www.wikidata.org/entity/Q892157	Bonbon-Museum	DE-MUS-722814	
http://www.wikidata.org/entity/Q896039	Goethe-Haus	DE-MUS-046417	1061012387	
http://www.wikidata.org/entity/Q896935	Roemer- und Pelizaeus-Museum Hildesheim	DE-Hil1	2019886-3	
http://www.wikidata.org/entity/Q907818	Bremer Rundfunkmuseum	DE-MUS-243014	5341167-5	
http://www.wikidata.org/entity/Q932411	Brunel University London (BUL)	GB-UkUbBU	1020463-5	
http://www.wikidata.org/entity/Q937608	Internationales Maritimes Museum Hamburg	DE-MUS-011129	10368232-6	
http://www.wikidata.org/entity/Q994056	Muschelmuseum Heringsdorf	DE-MUS-424713	
http://www.wikidata.org/entity/Q998793	Buchstabenmuseum	DE-MUS-017023	
http://www.wikidata.org/entity/Q1002486	AMOLF	OCLC-NLAMF	
http://www.wikidata.org/entity/Q1013517	Burg Posterstein	DE-MUS-875314	4538568-3	
http://www.wikidata.org/entity/Q1014027	Schloss Spielberg	DE-MUS-367313	4459204-8	
http://www.wikidata.org/entity/Q1015064	Burghof (Soest)	DE-MUS-125515	1027112986	
http://www.wikidata.org/entity/Q1036560	Carl-Maria-von-Weber-Museum	DE-MUS-846415	7538067-5	
http://www.wikidata.org/entity/Q1047778	Caspar-David-Friedrich-Institut	DE-MUS-035323	16074854-9	
http://www.wikidata.org/entity/Q1078672	Christian-Weise-Bibliothek	DE-124	2130426-9	
http://www.wikidata.org/entity/Q1117918	Museum für Kutschen, Chaisen, Karren	DE-MUS-297610	2109403-2	
http://www.wikidata.org/entity/Q1122507	Computermuseum der Fachhochschule Kiel	DE-MUS-225318	
http://www.wikidata.org/entity/Q1123124	Museum für Franken	DE-MUS-150110	2018664-2	
http://www.wikidata.org/entity/Q1152064	DB Museum Koblenz	DE-MUS-709811	1125553804	
http://www.wikidata.org/entity/Q113044346	Biblioteca centralizzata CNR dell'Area della ricerca di Potenza	IT-PZ0177	
http://www.wikidata.org/entity/Q113298653	Biblioteca del Dipartimento di matematica e informatica. Università degli studi di Ferrara	IT-FE0027	
http://www.wikidata.org/entity/Q113298654	Biblioteca del Museo Piero Leonardi. Università degli studi di Ferrara	IT-FE0065	
http://www.wikidata.org/entity/Q113298655	Archivio storico. Università degli studi di Ferrara. Biblioteca	IT-FE0158	
http://www.wikidata.org/entity/Q113298656	Biblioteca di Ateneo. Università degli studi di Ferrara	IT-FE0171	
http://www.wikidata.org/entity/Q113298760	Biblioteca d'Ateneo. Sede di medicina. Università degli studi di Milano-Bicocca	IT-MI1296	
http://www.wikidata.org/entity/Q113298761	Biblioteca d'Ateneo. Sede di scienze. Università degli studi di Milano-Bicocca	IT-MI1297	
http://www.wikidata.org/entity/Q113515248	Biblioteca dell'Istituto per le Applicazioni del Calcolo \"M. Picone\	IT-BA0250	
http://www.wikidata.org/entity/Q113515249	Biblioteca dell'Area della ricerca di Bari del CNR	IT-BA0257	
http://www.wikidata.org/entity/Q113515250	Biblioteca dell'Istituto di Bioscienze e Biorisorse	IT-BA0260	
http://www.wikidata.org/entity/Q113515251	Biblioteca dell'Istituto di ricerca sulle acque. IRSA	IT-BA0261	
http://www.wikidata.org/entity/Q113515265	Cnr Stiima. Istituto di Sistemi e Tecnologie Industriali per Il Manifatturiero Avanzato- Sezione di Biella	IT-BI0029	
http://www.wikidata.org/entity/Q113515274	Biblioteca del Centro di studio per l'informatica e i sistemi di telecomunicazioni. CSITE del CNR	IT-BO0318	
http://www.wikidata.org/entity/Q113515277	Biblioteca dell'Istituto di radioastronomia. IRA del CNR	IT-BO0325	
http://www.wikidata.org/entity/Q113515278	Biblioteca dell'Istituto di scienze marine. ISMAR. Sezione geologia marina di Bologna del CNR	IT-BO0328	
http://www.wikidata.org/entity/Q113515292	Biblioteca dell'Istituto di radioastronomia. IRA. Stazione radioastronomica di Medicina del CNR	IT-BO0548	
http://www.wikidata.org/entity/Q113515297	Biblioteca dell'Istituto di astrofisica spaziale e fisica cosmica. IASF. Sezione di Bologna del CNR	IT-BO0600	
http://www.wikidata.org/entity/Q113515298	Biblioteca dell'Istituto per la microelettronica e microsistemi. IMM. Sezione di Bologna del CNR	IT-BO0602	
http://www.wikidata.org/entity/Q113515299	Biblioteca dell'Istituto per lo studio dei materiali nanostrutturati. ISMN. Sezione di Bologna del CNR	IT-BO0603	
http://www.wikidata.org/entity/Q113515301	Biblioteca IGSG-CNR. Sede di Bologna	IT-BO0604	
http://www.wikidata.org/entity/Q113515302	Biblioteca dell'Istituto di biometeorologia. IBIMET. Sezione di Bologna del CNR	IT-BO0605	
http://www.wikidata.org/entity/Q113515304	Biblioteca dell'Istituto per i trapianti d'organo e l'immunocitologia. ITOI. Sezione di Bologna del CNR	IT-BO0606	
http://www.wikidata.org/entity/Q113515358	Biblioteca dell'Istituto di ricerca su membrane e modellistica di reattori chimici. IRMERC	IT-CS0249	
http://www.wikidata.org/entity/Q113515359	Biblioteca dell'Istituto di ecologia e idrologia forestale. IEIF	IT-CS0250	
http://www.wikidata.org/entity/Q113515360	Biblioteca dell'Istituto per la sistemistica e l'informatica. ISI	IT-CS0254	
http://www.wikidata.org/entity/Q113515361	Biblioteca dell'Area della ricerca di Cosenza del CNR	IT-CS0256	
http://www.wikidata.org/entity/Q113515377	Biblioteca dell'Istituto per le macchine movimento terra e veicoli fuori strada. IMAMOTER del CNR	IT-FE0124	
http://www.wikidata.org/entity/Q113515396	Biblioteca Emilio Albino di Genova	IT-GE0397	
http://www.wikidata.org/entity/Q113515397	Servizio di documentazione scientifica dell'Area della ricerca di Genova del Consiglio nazionale delle ricerche	IT-GE0398	
http://www.wikidata.org/entity/Q113515421	Biblioteca dell'Istituto sperimentale talassografico. CNR	IT-ME0351	
http://www.wikidata.org/entity/Q113515442	Biblioteca dell'Area della ricerca di Milano. ARM del CNR	IT-MI0500	
http://www.wikidata.org/entity/Q113515444	Biblioteca dell'Istituto per la Scienza e Tecnologia Dei Plasmi del Cnr	IT-MI0536	
http://www.wikidata.org/entity/Q113515452	Biblioteca dell'Istituto per lo studio delle macromolecole del CNR	IT-MI0743	
http://www.wikidata.org/entity/Q113515455	Biblioteca dell'Istituto di Astrofisica Spaziale e Fisica Cosmica Milano, Inaf	IT-MI0757	
http://www.wikidata.org/entity/Q113515468	Biblioteca dell'Istituto per l'energetica e le interfasi. ex IENI del CNR ora ICMATE	IT-MI0976	
http://www.wikidata.org/entity/Q113515475	Biblioteca dell'Istituto di matematica applicata e tecnologie informatiche del CNR	IT-MI1095	
http://www.wikidata.org/entity/Q113515509	Biblioteca dell'istituto di Scienze Applicate e Sistemi Intelligenti	IT-NA0212	
http://www.wikidata.org/entity/Q113515510	Biblioteca dell'Istituto di Chimica Biomolecolare del CNR	IT-NA0213	
http://www.wikidata.org/entity/Q113515516	Istituto per le Applicazioni del Calcolo \"M. Picone\	IT-NA0449	
http://www.wikidata.org/entity/Q113515517	Biblioteca dell'Istituto di Scienze e Tecnologie per l'Energia e la Mobilità Sostenibile (STEMS)	IT-NA0454	
http://www.wikidata.org/entity/Q113515518	Biblioteca dell'Istituto per il rilevamento elettromagnetico dell'ambiente -IREA del CNR	IT-NA0458	
http://www.wikidata.org/entity/Q113515537	Biblioteca del Centro di studi per il miglioramento genetico degli agrumi	IT-PA0339	
