inr;iso;nam;plz;ort;gemeindekennzahl;sbi;isil;tvw;tel;fax;ema;url;opa;text;oef;typ_text;utr_text;gro_text;leitung
AA009;DEU;Universitätsbibliothek Greifswald;Felix-Hausdorff-Str. 10;Greifswald;130750039039;9;DE-9;-3834;86 15 02;(03834) 86 15 01;ub@uni-greifswald.de;www.uni-greifswald.de/bibliothek/html;http://www.ub.uni-greifswald.de:2324/;aktiv;Mo-Fr.: 8-24, Sa: 9-24 Uhr;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AA022;DEU;Staatsbibliothek Bamberg ;Neue Residenz, Domplatz 8;Bamberg;94610000000;22;DE-22;-951;9 55 03 - 0;(0951) 9 55 03 - 145;info@staatsbibliothek-bamberg.de;http://www.staatsbibliothek-bamberg.de;https://katalog.ub.uni-bamberg.de/;aktiv;Mo - Fr 9:00 - 17:00 Uhr, Sa 9:00 - 12:00 Uhr (im August Sa geschlossen);Regionalbibliothek;Land;300.001 - 1.000.000;nebenamtlich
AA034;NULL;Universitätsbibliothek Kassel - Landesbibliothek und Murhardsche Bibliothek der Stadt Kassel;Diagonale 10;Kassel;66110000000;34;DE-34;-561;804-2117;(0561) 8 04-2125;direktion@bibliothek.uni-kassel.de;http://www.ub.uni-kassel.de;http://opac.bibliothek.uni-kassel.de;aktiv;Mo - Fr 8 bis 23 Uhr. Sa u. So 10 bis 18 Uhr;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AA046;NULL;Staats- und Universitätsbibliothek Bremen;Bibliothekstr.;Bremen;40110000000;46;DE-46;-421;2 18-59401;(0421) 2 18-59610;klages@suub.uni-bremen.de;http://www.suub.uni-bremen.de;NULL;aktiv;Mo-Fr 8.00-22.00 h. Sa 10.00-18.00 h;Universitätsbibliothek;Land;1.000.001 und mehr;nebenamtlich
AA058;NULL;Fürstliche Schaumburg-Lippische Hofbibliothek;Schloß;Bückeburg;32570009009;58;DE-58;-5722;96 77-30;(05722) 12 89;bueckeburg@nla.niedersachsen.de;www.Staatsarchiv-Bueckeburg.niedersachsen.de;;aktiv;8.00-16.00 Uhr;Regionalbibliothek;Private Trägerschaft;30.001 - 100.000;nebenamtlich
AA083;DEU;Technische Universität Berlin Universitätsbibliothek;Fasanenstraße 88 (im VOLKSWAGEN-Haus);Berlin;110000000000;83;DE-83;-30;314-76101;(030) 314-76106;info@ub.tu-berlin.de;http://www.ub.tu-berlin.de;http://portal.ub.tu-berlin.de;aktiv;Zentralbibliothek: Mo-Fr 9-22 Uhr, Sa 10-18 Uhr;NULL;Körperschaft/Stiftung des öff. Rechts;1.000.001 und mehr;nebenamtlich
AA095;DEU;Stiftung Tierärztliche Hochschule Hannover. Bibliothek;Bünteweg 2;Hannover;32410001001;95;DE-95;-511;9 53-7110 und 7100;(0511) 9 53-7119;biblio@tiho-hannover.de;www.tiho-hannover.de;http://opac.hobsy.de/cgi-bin/nph-wwwp3?DB=BES5.SYS8&LANG=DU&EXT=ON;aktiv;Mo., Mi., Fr.   11 - 19, Di., Do. 9 - 17, Sa. 10 - 13;NULL;Land;100.001 - 300.000;nebenamtlich
AA101;DEU;Die Deutsche Bibliothek - Deutsche Bücherei Leipzig;Deutscher Platz 1;Leipzig;147130000000;101;DE-101;-341;22 71-453;(0341) 22 71-444;info@dbl.ddb.de;http://www.ddb.de;http://dbl-opac.ddb.de;aufgegangen/übernommen;Mo-Fr 8.00-22.00. Sa 9.00-18.00;Nationalbibliothek;Staat (Bund od. Republik);1.000.001 und mehr;nebenamtlich
AA125;DEU;Ratsschulbibliothek. Wissenschaftliche Bibliothek;Lessingstr. 1;Zwickau;145240330330;125;DE-125;-375;83-4200;(0375) 83-4242;ratsschulbibliothek@zwickau.de;http://www.rsb-zwickau.de/;NULL;NULL;NULL;Regionalbibliothek;Kommune/Gemeinde;100.001 - 300.000;nebenamtlich
AA149;DEU;Stadtbibliothek Memmingen;Martin-Luther-Platz 1;Memmingen;97640000000;149;DE-149;-8331;8 50-157;(08331) 8 50-158;bibliothek@memmingen.de;http://www.memmingen.de;http://www.datronic.de/cgi-bin/findus.pl?customer=memmingen;aktiv;NULL;Regionalbibliothek;Kommune/Gemeinde;30.001 - 100.000;nebenamtlich
